start_date,Time,temperature,wind,precipi_
2018-11-01,5:56 PM,59 F,3 mph,0.0 in
2018-11-01,6:56 PM,56 F,3 mph,0.0 in
2018-11-01,7:56 PM,57 F,0 mph,0.0 in
2018-11-01,8:56 PM,56 F,5 mph,0.0 in
2018-11-01,9:56 PM,56 F,0 mph,0.0 in
2018-11-01,10:56 PM,55 F,3 mph,0.0 in
2018-11-01,11:56 PM,56 F,0 mph,0.0 in
2018-11-01,12:56 AM,59 F,0 mph,0.0 in
2018-11-01,1:56 AM,62 F,5 mph,0.0 in
2018-11-01,2:56 AM,65 F,3 mph,0.0 in
2018-11-01,3:56 AM,67 F,3 mph,0.0 in
2018-11-01,4:56 AM,67 F,3 mph,0.0 in
2018-11-01,5:56 AM,76 F,0 mph,0.0 in
2018-11-01,6:56 AM,77 F,0 mph,0.0 in
2018-11-01,7:56 AM,82 F,0 mph,0.0 in
2018-11-01,8:56 AM,79 F,0 mph,0.0 in
2018-11-01,9:56 AM,76 F,12 mph,0.0 in
2018-11-01,10:56 AM,72 F,14 mph,0.0 in
2018-11-01,11:56 AM,68 F,14 mph,0.0 in
2018-11-01,12:56 PM,67 F,13 mph,0.0 in
2018-11-01,1:56 PM,64 F,8 mph,0.0 in
2018-11-01,2:56 PM,64 F,8 mph,0.0 in
2018-11-01,3:56 PM,65 F,6 mph,0.0 in
2018-11-01,4:56 PM,61 F,3 mph,0.0 in
2018-11-02,5:56 PM,59 F,9 mph,0.0 in
2018-11-02,6:56 PM,59 F,8 mph,0.0 in
2018-11-02,7:56 PM,56 F,5 mph,0.0 in
2018-11-02,8:56 PM,55 F,6 mph,0.0 in
2018-11-02,9:56 PM,55 F,6 mph,0.0 in
2018-11-02,10:56 PM,55 F,0 mph,0.0 in
2018-11-02,11:56 PM,55 F,7 mph,0.0 in
2018-11-02,12:56 AM,55 F,5 mph,0.0 in
2018-11-02,1:56 AM,61 F,0 mph,0.0 in
2018-11-02,2:56 AM,65 F,0 mph,0.0 in
2018-11-02,3:56 AM,64 F,5 mph,0.0 in
2018-11-02,4:56 AM,67 F,6 mph,0.0 in
2018-11-02,5:56 AM,72 F,7 mph,0.0 in
2018-11-02,6:56 AM,68 F,18 mph,0.0 in
2018-11-02,7:56 AM,73 F,15 mph,0.0 in
2018-11-02,8:56 AM,70 F,17 mph,0.0 in
2018-11-02,9:56 AM,67 F,14 mph,0.0 in
2018-11-02,10:56 AM,64 F,13 mph,0.0 in
2018-11-02,11:56 AM,61 F,14 mph,0.0 in
2018-11-02,12:56 PM,61 F,9 mph,0.0 in
2018-11-02,1:56 PM,61 F,7 mph,0.0 in
2018-11-02,2:56 PM,61 F,6 mph,0.0 in
2018-11-02,3:56 PM,62 F,6 mph,0.0 in
2018-11-02,4:56 PM,58 F,8 mph,0.0 in
2018-11-03,5:56 PM,56 F,3 mph,0.0 in
2018-11-03,6:56 PM,56 F,5 mph,0.0 in
2018-11-03,7:56 PM,55 F,5 mph,0.0 in
2018-11-03,8:56 PM,56 F,3 mph,0.0 in
2018-11-03,9:56 PM,53 F,3 mph,0.0 in
2018-11-03,10:56 PM,55 F,5 mph,0.0 in
2018-11-03,11:56 PM,53 F,3 mph,0.0 in
2018-11-03,12:56 AM,56 F,3 mph,0.0 in
2018-11-03,1:56 AM,58 F,0 mph,0.0 in
2018-11-03,2:56 AM,66 F,0 mph,0.0 in
2018-11-03,3:56 AM,67 F,5 mph,0.0 in
2018-11-03,4:56 AM,69 F,3 mph,0.0 in
2018-11-03,5:56 AM,69 F,5 mph,0.0 in
2018-11-03,6:56 AM,77 F,7 mph,0.0 in
2018-11-03,7:56 AM,78 F,13 mph,0.0 in
2018-11-03,8:56 AM,77 F,10 mph,0.0 in
2018-11-03,9:56 AM,70 F,15 mph,0.0 in
2018-11-03,10:56 AM,67 F,13 mph,0.0 in
2018-11-03,11:56 AM,61 F,7 mph,0.0 in
2018-11-03,12:56 PM,59 F,6 mph,0.0 in
2018-11-03,1:56 PM,59 F,8 mph,0.0 in
2018-11-03,2:56 PM,58 F,7 mph,0.0 in
2018-11-03,3:56 PM,59 F,8 mph,0.0 in
2018-11-03,4:56 PM,58 F,7 mph,0.0 in
2018-11-04,5:56 PM,56 F,3 mph,0.0 in
2018-11-04,6:56 PM,56 F,5 mph,0.0 in
2018-11-04,7:56 PM,55 F,5 mph,0.0 in
2018-11-04,8:56 PM,56 F,3 mph,0.0 in
2018-11-04,9:56 PM,53 F,3 mph,0.0 in
2018-11-04,10:56 PM,55 F,5 mph,0.0 in
2018-11-04,11:56 PM,53 F,3 mph,0.0 in
2018-11-04,12:56 AM,56 F,3 mph,0.0 in
2018-11-04,1:56 AM,58 F,0 mph,0.0 in
2018-11-04,2:56 AM,66 F,0 mph,0.0 in
2018-11-04,3:56 AM,67 F,5 mph,0.0 in
2018-11-04,4:56 AM,69 F,3 mph,0.0 in
2018-11-04,5:56 AM,69 F,5 mph,0.0 in
2018-11-04,6:56 AM,77 F,7 mph,0.0 in
2018-11-04,7:56 AM,78 F,13 mph,0.0 in
2018-11-04,8:56 AM,77 F,10 mph,0.0 in
2018-11-04,9:56 AM,70 F,15 mph,0.0 in
2018-11-04,10:56 AM,67 F,13 mph,0.0 in
2018-11-04,11:56 AM,61 F,7 mph,0.0 in
2018-11-04,12:56 PM,59 F,6 mph,0.0 in
2018-11-04,1:56 PM,59 F,8 mph,0.0 in
2018-11-04,2:56 PM,58 F,7 mph,0.0 in
2018-11-04,3:56 PM,59 F,8 mph,0.0 in
2018-11-04,4:56 PM,58 F,7 mph,0.0 in
2018-11-05,5:56 PM,52 F,13 mph,0.0 in
2018-11-05,6:56 PM,53 F,9 mph,0.0 in
2018-11-05,7:56 PM,52 F,7 mph,0.0 in
2018-11-05,8:56 PM,53 F,5 mph,0.0 in
2018-11-05,9:56 PM,54 F,3 mph,0.0 in
2018-11-05,10:56 PM,52 F,7 mph,0.0 in
2018-11-05,11:56 PM,53 F,0 mph,0.0 in
2018-11-05,12:56 AM,57 F,3 mph,0.0 in
2018-11-05,1:56 AM,61 F,0 mph,0.0 in
2018-11-05,2:56 AM,63 F,0 mph,0.0 in
2018-11-05,3:56 AM,65 F,3 mph,0.0 in
2018-11-05,4:56 AM,70 F,14 mph,0.0 in
2018-11-05,5:56 AM,67 F,15 mph,0.0 in
2018-11-05,6:56 AM,67 F,18 mph,0.0 in
2018-11-05,7:56 AM,65 F,23 mph,0.0 in
2018-11-05,8:56 AM,61 F,20 mph,0.0 in
2018-11-05,9:56 AM,59 F,18 mph,0.0 in
2018-11-05,10:56 AM,58 F,17 mph,0.0 in
2018-11-05,11:56 AM,56 F,16 mph,0.0 in
2018-11-05,12:56 PM,56 F,10 mph,0.0 in
2018-11-05,1:56 PM,55 F,8 mph,0.0 in
2018-11-05,2:56 PM,53 F,3 mph,0.0 in
2018-11-05,3:56 PM,55 F,0 mph,0.0 in
2018-11-05,4:56 PM,53 F,0 mph,0.0 in
2018-11-06,5:56 PM,53 F,0 mph,0.0 in
2018-11-06,6:56 PM,50 F,0 mph,0.0 in
2018-11-06,7:56 PM,50 F,3 mph,0.0 in
2018-11-06,8:56 PM,50 F,3 mph,0.0 in
2018-11-06,9:56 PM,51 F,0 mph,0.0 in
2018-11-06,10:56 PM,50 F,0 mph,0.0 in
2018-11-06,11:56 PM,52 F,0 mph,0.0 in
2018-11-06,12:56 AM,56 F,0 mph,0.0 in
2018-11-06,1:56 AM,60 F,3 mph,0.0 in
2018-11-06,2:56 AM,62 F,5 mph,0.0 in
2018-11-06,3:56 AM,64 F,7 mph,0.0 in
2018-11-06,4:56 AM,66 F,6 mph,0.0 in
2018-11-06,5:56 AM,67 F,5 mph,0.0 in
2018-11-06,6:56 AM,68 F,3 mph,0.0 in
2018-11-06,7:56 AM,67 F,16 mph,0.0 in
2018-11-06,8:56 AM,67 F,14 mph,0.0 in
2018-11-06,9:56 AM,64 F,16 mph,0.0 in
2018-11-06,10:56 AM,60 F,15 mph,0.0 in
2018-11-06,11:56 AM,58 F,12 mph,0.0 in
2018-11-06,12:56 PM,59 F,6 mph,0.0 in
2018-11-06,1:56 PM,58 F,6 mph,0.0 in
2018-11-06,2:56 PM,55 F,9 mph,0.0 in
2018-11-06,3:56 PM,53 F,6 mph,0.0 in
2018-11-06,4:56 PM,52 F,7 mph,0.0 in
2018-11-07,5:56 PM,53 F,3 mph,0.0 in
2018-11-07,6:56 PM,50 F,8 mph,0.0 in
2018-11-07,7:56 PM,50 F,7 mph,0.0 in
2018-11-07,8:56 PM,50 F,3 mph,0.0 in
2018-11-07,9:56 PM,50 F,0 mph,0.0 in
2018-11-07,10:56 PM,50 F,0 mph,0.0 in
2018-11-07,11:56 PM,51 F,0 mph,0.0 in
2018-11-07,12:56 AM,55 F,0 mph,0.0 in
2018-11-07,1:56 AM,61 F,5 mph,0.0 in
2018-11-07,2:56 AM,61 F,5 mph,0.0 in
2018-11-07,3:56 AM,64 F,3 mph,0.0 in
2018-11-07,4:56 AM,65 F,3 mph,0.0 in
2018-11-07,5:56 AM,72 F,3 mph,0.0 in
2018-11-07,6:56 AM,69 F,5 mph,0.0 in
2018-11-07,7:56 AM,70 F,15 mph,0.0 in
2018-11-07,8:56 AM,67 F,17 mph,0.0 in
2018-11-07,9:56 AM,61 F,18 mph,0.0 in
2018-11-07,10:56 AM,58 F,16 mph,0.0 in
2018-11-07,11:56 AM,56 F,13 mph,0.0 in
2018-11-07,12:56 PM,58 F,0 mph,0.0 in
2018-11-07,1:56 PM,56 F,3 mph,0.0 in
2018-11-07,2:56 PM,56 F,0 mph,0.0 in
2018-11-07,3:56 PM,55 F,6 mph,0.0 in
2018-11-07,4:56 PM,53 F,5 mph,0.0 in
2018-11-08,5:56 PM,54 F,0 mph,0.0 in
2018-11-08,6:56 PM,53 F,0 mph,0.0 in
2018-11-08,7:56 PM,51 F,3 mph,0.0 in
2018-11-08,8:56 PM,50 F,5 mph,0.0 in
2018-11-08,9:56 PM,50 F,3 mph,0.0 in
2018-11-08,10:56 PM,50 F,3 mph,0.0 in
2018-11-08,11:56 PM,50 F,0 mph,0.0 in
2018-11-08,12:56 AM,55 F,5 mph,0.0 in
2018-11-08,1:56 AM,61 F,3 mph,0.0 in
2018-11-08,2:56 AM,64 F,7 mph,0.0 in
2018-11-08,3:56 AM,64 F,3 mph,0.0 in
2018-11-08,4:56 AM,67 F,6 mph,0.0 in
2018-11-08,5:56 AM,67 F,15 mph,0.0 in
2018-11-08,6:56 AM,67 F,9 mph,0.0 in
2018-11-08,7:56 AM,68 F,10 mph,0.0 in
2018-11-08,8:56 AM,67 F,8 mph,0.0 in
2018-11-08,9:56 AM,65 F,10 mph,0.0 in
2018-11-08,10:56 AM,65 F,6 mph,0.0 in
2018-11-08,11:56 AM,65 F,6 mph,0.0 in
2018-11-08,12:56 PM,60 F,7 mph,0.0 in
2018-11-08,1:56 PM,62 F,12 mph,0.0 in
2018-11-08,2:56 PM,61 F,10 mph,0.0 in
2018-11-08,3:56 PM,61 F,13 mph,0.0 in
2018-11-08,4:56 PM,63 F,13 mph,0.0 in
2018-11-09,5:56 PM,60 F,9 mph,0.0 in
2018-11-09,6:56 PM,58 F,9 mph,0.0 in
2018-11-09,7:56 PM,55 F,9 mph,0.0 in
2018-11-09,8:56 PM,55 F,7 mph,0.0 in
2018-11-09,9:56 PM,54 F,8 mph,0.0 in
2018-11-09,10:56 PM,51 F,8 mph,0.0 in
2018-11-09,11:56 PM,54 F,6 mph,0.0 in
2018-11-09,12:56 AM,54 F,7 mph,0.0 in
2018-11-09,1:56 AM,59 F,10 mph,0.0 in
2018-11-09,2:56 AM,61 F,8 mph,0.0 in
2018-11-09,3:56 AM,65 F,7 mph,0.0 in
2018-11-09,4:56 AM,65 F,3 mph,0.0 in
2018-11-09,5:56 AM,67 F,0 mph,0.0 in
2018-11-09,6:56 AM,67 F,3 mph,0.0 in
2018-11-09,7:56 AM,66 F,0 mph,0.0 in
2018-11-09,8:56 AM,66 F,3 mph,0.0 in
2018-11-09,9:56 AM,62 F,6 mph,0.0 in
2018-11-09,10:56 AM,58 F,0 mph,0.0 in
2018-11-09,11:56 AM,57 F,7 mph,0.0 in
2018-11-09,12:56 PM,53 F,5 mph,0.0 in
2018-11-09,1:56 PM,55 F,5 mph,0.0 in
2018-11-09,2:56 PM,52 F,5 mph,0.0 in
2018-11-09,3:56 PM,53 F,0 mph,0.0 in
2018-11-09,4:56 PM,51 F,3 mph,0.0 in
2018-11-10,5:56 PM,50 F,0 mph,0.0 in
2018-11-10,6:56 PM,50 F,3 mph,0.0 in
2018-11-10,7:56 PM,46 F,5 mph,0.0 in
2018-11-10,8:56 PM,44 F,5 mph,0.0 in
2018-11-10,9:56 PM,45 F,5 mph,0.0 in
2018-11-10,10:56 PM,47 F,7 mph,0.0 in
2018-11-10,11:56 PM,45 F,3 mph,0.0 in
2018-11-10,12:56 AM,48 F,0 mph,0.0 in
2018-11-10,1:56 AM,54 F,0 mph,0.0 in
2018-11-10,2:56 AM,56 F,0 mph,0.0 in
2018-11-10,3:56 AM,56 F,0 mph,0.0 in
2018-11-10,4:56 AM,58 F,0 mph,0.0 in
2018-11-10,5:56 AM,58 F,0 mph,0.0 in
2018-11-10,6:56 AM,59 F,0 mph,0.0 in
2018-11-10,7:56 AM,61 F,0 mph,0.0 in
2018-11-10,8:56 AM,62 F,0 mph,0.0 in
2018-11-10,9:56 AM,61 F,0 mph,0.0 in
2018-11-10,10:56 AM,56 F,0 mph,0.0 in
2018-11-10,11:56 AM,55 F,5 mph,0.0 in
2018-11-10,12:56 PM,53 F,0 mph,0.0 in
2018-11-10,1:56 PM,51 F,3 mph,0.0 in
2018-11-10,2:56 PM,54 F,6 mph,0.0 in
2018-11-10,3:56 PM,52 F,0 mph,0.0 in
2018-11-10,4:56 PM,52 F,5 mph,0.0 in
2018-11-11,5:56 PM,49 F,0 mph,0.0 in
2018-11-11,6:56 PM,47 F,5 mph,0.0 in
2018-11-11,7:56 PM,47 F,0 mph,0.0 in
2018-11-11,8:56 PM,44 F,0 mph,0.0 in
2018-11-11,9:56 PM,48 F,5 mph,0.0 in
2018-11-11,10:56 PM,42 F,0 mph,0.0 in
2018-11-11,11:56 PM,48 F,8 mph,0.0 in
2018-11-11,12:56 AM,58 F,9 mph,0.0 in
2018-11-11,1:56 AM,62 F,12 mph,0.0 in
2018-11-11,2:56 AM,61 F,8 mph,0.0 in
2018-11-11,3:56 AM,63 F,6 mph,0.0 in
2018-11-11,4:56 AM,65 F,8 mph,0.0 in
2018-11-11,5:56 AM,66 F,17 mph,0.0 in
2018-11-11,6:56 AM,66 F,15 mph,0.0 in
2018-11-11,7:56 AM,65 F,13 mph,0.0 in
2018-11-11,8:56 AM,64 F,7 mph,0.0 in
2018-11-11,9:56 AM,65 F,5 mph,0.0 in
2018-11-11,10:56 AM,61 F,0 mph,0.0 in
2018-11-11,11:56 AM,59 F,8 mph,0.0 in
2018-11-11,12:56 PM,60 F,0 mph,0.0 in
2018-11-11,1:56 PM,56 F,3 mph,0.0 in
2018-11-11,2:56 PM,53 F,3 mph,0.0 in
2018-11-11,3:56 PM,53 F,3 mph,0.0 in
2018-11-11,4:56 PM,50 F,0 mph,0.0 in
2018-11-12,5:56 PM,48 F,3 mph,0.0 in
2018-11-12,6:56 PM,48 F,0 mph,0.0 in
2018-11-12,7:56 PM,45 F,5 mph,0.0 in
2018-11-12,8:56 PM,44 F,0 mph,0.0 in
2018-11-12,9:56 PM,44 F,5 mph,0.0 in
2018-11-12,10:56 PM,44 F,0 mph,0.0 in
2018-11-12,11:56 PM,48 F,3 mph,0.0 in
2018-11-12,12:56 AM,50 F,7 mph,0.0 in
2018-11-12,1:56 AM,54 F,7 mph,0.0 in
2018-11-12,2:56 AM,58 F,3 mph,0.0 in
2018-11-12,3:56 AM,61 F,5 mph,0.0 in
2018-11-12,4:56 AM,62 F,0 mph,0.0 in
2018-11-12,5:56 AM,65 F,0 mph,0.0 in
2018-11-12,6:56 AM,65 F,3 mph,0.0 in
2018-11-12,7:56 AM,66 F,0 mph,0.0 in
2018-11-12,8:56 AM,65 F,0 mph,0.0 in
2018-11-12,9:56 AM,62 F,3 mph,0.0 in
2018-11-12,10:56 AM,60 F,3 mph,0.0 in
2018-11-12,11:56 AM,59 F,3 mph,0.0 in
2018-11-12,12:56 PM,56 F,0 mph,0.0 in
2018-11-12,1:56 PM,55 F,0 mph,0.0 in
2018-11-12,2:56 PM,55 F,0 mph,0.0 in
2018-11-12,3:56 PM,54 F,0 mph,0.0 in
2018-11-12,4:56 PM,51 F,0 mph,0.0 in
2018-11-13,5:56 PM,52 F,0 mph,0.0 in
2018-11-13,6:56 PM,48 F,3 mph,0.0 in
2018-11-13,7:56 PM,48 F,0 mph,0.0 in
2018-11-13,8:56 PM,47 F,3 mph,0.0 in
2018-11-13,9:56 PM,48 F,0 mph,0.0 in
2018-11-13,10:56 PM,47 F,3 mph,0.0 in
2018-11-13,11:56 PM,48 F,0 mph,0.0 in
2018-11-13,12:56 AM,53 F,0 mph,0.0 in
2018-11-13,1:56 AM,56 F,3 mph,0.0 in
2018-11-13,2:56 AM,55 F,0 mph,0.0 in
2018-11-13,3:56 AM,58 F,0 mph,0.0 in
2018-11-13,4:56 AM,60 F,0 mph,0.0 in
2018-11-13,5:56 AM,58 F,0 mph,0.0 in
2018-11-13,6:56 AM,59 F,3 mph,0.0 in
2018-11-13,7:56 AM,61 F,3 mph,0.0 in
2018-11-13,8:56 AM,60 F,0 mph,0.0 in
2018-11-13,9:56 AM,58 F,0 mph,0.0 in
2018-11-13,10:56 AM,58 F,0 mph,0.0 in
2018-11-13,11:56 AM,55 F,3 mph,0.0 in
2018-11-13,12:56 PM,56 F,3 mph,0.0 in
2018-11-13,1:56 PM,55 F,0 mph,0.0 in
2018-11-13,2:56 PM,55 F,0 mph,0.0 in
2018-11-13,3:56 PM,53 F,6 mph,0.0 in
2018-11-13,4:56 PM,54 F,0 mph,0.0 in
2018-11-14,5:56 PM,48 F,0 mph,0.0 in
2018-11-14,6:56 PM,47 F,7 mph,0.0 in
2018-11-14,7:56 PM,47 F,5 mph,0.0 in
2018-11-14,8:56 PM,46 F,0 mph,0.0 in
2018-11-14,9:56 PM,47 F,0 mph,0.0 in
2018-11-14,10:56 PM,47 F,3 mph,0.0 in
2018-11-14,11:56 PM,47 F,3 mph,0.0 in
2018-11-14,12:56 AM,51 F,3 mph,0.0 in
2018-11-14,1:56 AM,52 F,3 mph,0.0 in
2018-11-14,2:56 AM,56 F,0 mph,0.0 in
2018-11-14,3:56 AM,56 F,5 mph,0.0 in
2018-11-14,4:56 AM,59 F,5 mph,0.0 in
2018-11-14,5:56 AM,59 F,6 mph,0.0 in
2018-11-14,6:56 AM,62 F,5 mph,0.0 in
2018-11-14,7:56 AM,61 F,0 mph,0.0 in
2018-11-14,8:56 AM,61 F,0 mph,0.0 in
2018-11-14,9:56 AM,61 F,7 mph,0.0 in
2018-11-14,10:56 AM,59 F,9 mph,0.0 in
2018-11-14,11:56 AM,59 F,5 mph,0.0 in
2018-11-14,12:56 PM,55 F,5 mph,0.0 in
2018-11-14,1:56 PM,55 F,0 mph,0.0 in
2018-11-14,2:56 PM,54 F,3 mph,0.0 in
2018-11-14,3:56 PM,51 F,0 mph,0.0 in
2018-11-14,4:56 PM,49 F,5 mph,0.0 in
2018-11-15,5:56 PM,51 F,0 mph,0.0 in
2018-11-15,6:56 PM,47 F,5 mph,0.0 in
2018-11-15,7:56 PM,46 F,5 mph,0.0 in
2018-11-15,8:56 PM,44 F,3 mph,0.0 in
2018-11-15,9:56 PM,45 F,0 mph,0.0 in
2018-11-15,10:56 PM,44 F,3 mph,0.0 in
2018-11-15,11:56 PM,48 F,0 mph,0.0 in
2018-11-15,12:56 AM,47 F,5 mph,0.0 in
2018-11-15,1:56 AM,52 F,3 mph,0.0 in
2018-11-15,2:56 AM,54 F,0 mph,0.0 in
2018-11-15,3:56 AM,55 F,3 mph,0.0 in
2018-11-15,4:56 AM,58 F,0 mph,0.0 in
2018-11-15,5:56 AM,58 F,0 mph,0.0 in
2018-11-15,6:56 AM,61 F,5 mph,0.0 in
2018-11-15,7:56 AM,62 F,0 mph,0.0 in
2018-11-15,8:56 AM,60 F,3 mph,0.0 in
2018-11-15,9:56 AM,58 F,3 mph,0.0 in
2018-11-15,10:56 AM,58 F,3 mph,0.0 in
2018-11-15,11:56 AM,56 F,0 mph,0.0 in
2018-11-15,12:56 PM,53 F,0 mph,0.0 in
2018-11-15,1:56 PM,53 F,3 mph,0.0 in
2018-11-15,2:56 PM,53 F,3 mph,0.0 in
2018-11-15,3:56 PM,50 F,5 mph,0.0 in
2018-11-15,4:56 PM,51 F,0 mph,0.0 in
